origen,destino,algoritmo,distancia,nodos_expandidos,tiempo_interno_algoritmo,tiempo_medido_experimento,memoria_peak_KB,caso_id,num_nodos_grafo,num_aristas_grafo
48,12,dijkstra,115.23236702780319,5,0.00010895729064941406,0.0001125335693359375,6.734375,24,100,310
48,12,astar,115.23236702780319,2,0.0002238750457763672,0.0002448558807373047,13.3125,24,100,310
48,12,bidireccional,115.23236702780319,232,0.0044248104095458984,0.0044498443603515625,23.3046875,24,100,310
45,44,dijkstra,510.2930601927852,54,0.0007207393646240234,0.0007259845733642578,8.21875,25,100,310
45,44,astar,510.2930601927852,7,0.00033164024353027344,0.00035262107849121094,13.3125,25,100,310
45,44,bidireccional,510.2930601927852,226,0.004037380218505859,0.004060983657836914,23.2421875,25,100,310
77,33,dijkstra,1494.7442415350151,113,0.0013856887817382812,0.0013895034790039062,11.5625,26,100,310
77,33,astar,1494.7442415350151,80,0.0016870498657226562,0.0017096996307373047,15.0546875,26,100,310
77,33,bidireccional,1494.7442415350147,228,0.004130363464355469,0.004176139831542969,23.2734375,26,100,310
5,93,dijkstra,109.54615329422593,5,0.0001049041748046875,0.00010824203491210938,6.734375,27,100,310
5,93,astar,109.54615329422593,2,0.000209808349609375,0.00023055076599121094,13.3125,27,100,310
5,93,bidireccional,109.54615329422593,220,0.004331827163696289,0.00436711311340332,23.53515625,27,100,310
58,68,dijkstra,695.9399841805197,35,0.0005164146423339844,0.0005209445953369141,6.734375,28,100,310
58,68,astar,695.9399841805197,16,0.0005710124969482422,0.0005915164947509766,13.3203125,28,100,310
58,68,bidireccional,695.9399841805197,228,0.004339933395385742,0.004365682601928711,23.3828125,28,100,310
15,48,dijkstra,inf,1,4.291534423828125e-05,4.553794860839844e-05,6.734375,29,100,310
15,48,astar,inf,1,0.00016307830810546875,0.00018477439880371094,13.3359375,29,100,310
15,48,bidireccional,inf,2,0.00022482872009277344,0.0002472400665283203,13.3203125,29,100,310
10,70,dijkstra,476.9295899905022,43,0.0005462169647216797,0.0005497932434082031,8.0703125,30,100,310
10,70,astar,476.9295899905022,6,0.0003323554992675781,0.0003540515899658203,13.3125,30,100,310
10,70,bidireccional,476.9295899905022,228,0.004187107086181641,0.0042150020599365234,23.21875,30,100,310
37,80,dijkstra,864.129862070356,59,0.0007932186126708984,0.000797271728515625,8.0390625,31,100,310
37,80,astar,864.129862070356,10,0.0004010200500488281,0.0004246234893798828,13.3671875,31,100,310
37,80,bidireccional,864.129862070356,220,0.00391387939453125,0.003936052322387695,23.203125,31,100,310
79,46,dijkstra,854.0751262110507,89,0.0010685920715332031,0.0010726451873779297,8.125,32,100,310
79,46,astar,854.0751262110507,16,0.0005464553833007812,0.0005667209625244141,13.34375,32,100,310
79,46,bidireccional,854.0751262110507,218,0.003962993621826172,0.003986835479736328,23.1953125,32,100,310
73,24,dijkstra,749.2303503637494,85,0.0010898113250732422,0.0010938644409179688,8.2109375,33,100,310
73,24,astar,749.2303503637494,10,0.00041294097900390625,0.0004329681396484375,13.3203125,33,100,310
73,24,bidireccional,749.2303503637493,230,0.004364013671875,0.004392385482788086,23.1875,33,100,310
90,8,dijkstra,1054.749395694247,101,0.0013890266418457031,0.0013957023620605469,11.6171875,34,100,310
90,8,astar,1054.749395694247,27,0.0008096694946289062,0.0008311271667480469,15.1171875,34,100,310
90,8,bidireccional,1054.749395694247,216,0.003948688507080078,0.0039730072021484375,23.2265625,34,100,310
5,84,dijkstra,455.19445535588187,49,0.0006196498870849609,0.0006239414215087891,8.2421875,35,100,310
5,84,astar,455.19445535588187,7,0.00030732154846191406,0.0003285408020019531,13.3125,35,100,310
5,84,bidireccional,455.1944553558818,226,0.004037141799926758,0.00406193733215332,23.234375,35,100,310
29,98,dijkstra,959.4760673162904,76,0.0009698867797851562,0.0009744167327880859,8.0859375,36,100,310
29,98,astar,959.4760673162904,23,0.0007398128509521484,0.0007603168487548828,13.421875,36,100,310
29,98,bidireccional,959.4760673162904,236,0.004445791244506836,0.0044705867767333984,23.2734375,36,100,310
37,10,dijkstra,908.6244895120254,63,0.0008342266082763672,0.0008385181427001953,8.0390625,37,100,310
37,10,astar,908.6244895120254,26,0.0008082389831542969,0.0008296966552734375,13.453125,37,100,310
37,10,bidireccional,908.6244895120253,220,0.003958940505981445,0.003980875015258789,23.1953125,37,100,310
29,12,dijkstra,83.21937167609364,4,0.00010395050048828125,0.00010800361633300781,6.734375,38,100,310
29,12,astar,83.21937167609364,2,0.00019669532775878906,0.00021791458129882812,13.3125,38,100,310
29,12,bidireccional,83.21937167609364,236,0.004297733306884766,0.0043222904205322266,23.328125,38,100,310
48,35,dijkstra,379.108326421164,21,0.00029730796813964844,0.0003008842468261719,6.734375,39,100,310
48,35,astar,379.108326421164,7,0.000331878662109375,0.0003516674041748047,13.3125,39,100,310
48,35,bidireccional,379.108326421164,226,0.0042378902435302734,0.004263162612915039,23.2734375,39,100,310
58,81,dijkstra,279.5122584476841,11,0.0001614093780517578,0.0001647472381591797,6.734375,40,100,310
58,81,astar,279.5122584476841,6,0.0003058910369873047,0.0003273487091064453,13.3125,40,100,310
58,81,bidireccional,279.5122584476841,228,0.004251718521118164,0.004275321960449219,23.3046875,40,100,310
46,20,dijkstra,1049.6617194556527,89,0.0011234283447265625,0.0011272430419921875,11.5390625,41,100,310
46,20,astar,1049.6617194556527,28,0.0007908344268798828,0.0008122920989990234,15.296875,41,100,310
46,20,bidireccional,1049.6617194556525,218,0.003919124603271484,0.003941059112548828,23.171875,41,100,310
47,45,dijkstra,322.22758029170654,28,0.00041484832763671875,0.0004200935363769531,6.734375,42,100,310
47,45,astar,322.22758029170654,4,0.000232696533203125,0.0002532005310058594,13.3125,42,100,310
47,45,bidireccional,322.22758029170654,226,0.004873514175415039,0.004915952682495117,23.4765625,42,100,310
26,85,dijkstra,438.6045323504799,31,0.0005092620849609375,0.0005135536193847656,6.734375,43,100,310
26,85,astar,438.6045323504799,5,0.0007624626159667969,0.0008008480072021484,13.3828125,43,100,310
26,85,bidireccional,438.6045323504799,226,0.004823207855224609,0.004863262176513672,23.2421875,43,100,310
34,89,dijkstra,894.0771978931313,76,0.0010886192321777344,0.0010943412780761719,8.09375,44,100,310
34,89,astar,894.0771978931313,28,0.000911712646484375,0.0009355545043945312,13.421875,44,100,310
34,89,bidireccional,894.0771978931313,226,0.004755496978759766,0.004789113998413086,23.2265625,44,100,310
87,82,dijkstra,1193.2411029184507,96,0.0014116764068603516,0.0014171600341796875,11.5625,45,100,310
87,82,astar,1193.2411029184507,23,0.0008177757263183594,0.0008692741394042969,15.203125,45,100,310
87,82,bidireccional,1193.2411029184505,224,0.004344463348388672,0.004371166229248047,23.1953125,45,100,310
9,77,dijkstra,779.2719161185983,104,0.0013034343719482422,0.0013082027435302734,11.6171875,46,100,310
9,77,astar,779.2719161185983,30,0.0008642673492431641,0.0008862018585205078,15.140625,46,100,310
9,77,bidireccional,779.2719161185981,228,0.0046634674072265625,0.004698276519775391,23.25,46,100,310
81,21,dijkstra,inf,117,0.00157928466796875,0.0015842914581298828,11.6171875,47,100,310
81,21,astar,inf,131,0.002657651901245117,0.0026772022247314453,18.609375,47,100,310
81,21,bidireccional,inf,6,0.0002923011779785156,0.00031566619873046875,13.3203125,47,100,310
68,93,dijkstra,488.2905829855601,62,0.0008041858673095703,0.0008091926574707031,8.2578125,48,100,310
68,93,astar,488.2905829855601,9,0.000335693359375,0.0003566741943359375,13.3125,48,100,310
68,93,bidireccional,488.2905829855601,220,0.004002571105957031,0.004030466079711914,23.3515625,48,100,310
31,20,dijkstra,1010.8049068397418,90,0.0011298656463623047,0.0011341571807861328,11.5625,49,100,310
31,20,astar,1010.8049068397418,32,0.0007753372192382812,0.0007963180541992188,15.140625,49,100,310
31,20,bidireccional,1010.8049068397415,220,0.003885984420776367,0.003910064697265625,23.1953125,49,100,310
